         9281111 function calls (9273891 primitive calls) in 488.001 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       29    0.000    0.000    0.000    0.000 common.py:1673(_get_dtype)
      158    0.000    0.000    0.000    0.000 common.py:1722(_get_dtype_type)
      4/2    0.000    0.000    0.000    0.000 common.py:1766(_get_dtype_from_object)
       78    0.000    0.000    0.001    0.000 common.py:182(is_bool_indexer)
        2    0.000    0.000    0.000    0.000 common.py:1823(_validate_date_like_dtype)
        1    0.000    0.000    0.000    0.000 common.py:19(<listcomp>)
       45    0.000    0.000    0.000    0.000 common.py:190(is_categorical)
        1    0.000    0.000    0.000    0.000 common.py:205(_default_index)
       45    0.000    0.000    0.000    0.000 common.py:222(is_datetimetz)
        1    0.000    0.000    0.000    0.000 common.py:23(NameResolutionError)
        1    0.000    0.000    0.000    0.000 common.py:238(_infer_compression)
        2    0.000    0.000    0.000    0.000 common.py:296(is_datetime64_dtype)
        1    0.000    0.000    0.005    0.005 common.py:3(<module>)
        1    0.000    0.000    0.000    0.000 common.py:30(<listcomp>)
        1    0.000    0.000    0.000    0.000 common.py:302(groupby)
       50    0.000    0.000    0.000    0.000 common.py:32(outer)
       47    0.000    0.000    0.000    0.000 common.py:333(is_datetime64tz_dtype)
        3    0.000    0.000    0.000    0.000 common.py:353(_asarray_tuplesafe)
        2    0.000    0.000    0.000    0.000 common.py:371(is_timedelta64_dtype)
        1    0.000    0.000    0.000    0.000 common.py:4(<module>)
       15    0.000    0.000    0.000    0.000 common.py:406(is_period_dtype)
        1    0.000    0.000    0.000    0.000 common.py:413(MMapWrapper)
       52    0.000    0.000    0.000    0.000 common.py:435(_apply_if_callable)
       17    0.000    0.000    0.000    0.000 common.py:439(is_interval_dtype)
        1    0.000    0.000    0.000    0.000 common.py:456(UTF8Recoder)
       91    0.000    0.000    0.000    0.000 common.py:475(is_categorical_dtype)
       15    0.000    0.000    0.000    0.000 common.py:508(is_string_dtype)
       10    0.000    0.000    0.000    0.000 common.py:57(outer)
       52    0.000    0.000    0.000    0.000 common.py:740(is_integer_dtype)
        2    0.000    0.000    0.000    0.000 common.py:787(is_signed_integer_dtype)
        1    0.000    0.000    0.000    0.000 common.py:80(BaseIterator)
        1    0.000    0.000    0.000    0.000 common.py:80(SettingWithCopyError)
        2    0.000    0.000    0.000    0.000 common.py:836(is_unsigned_integer_dtype)
        1    0.000    0.000    0.000    0.000 common.py:84(SettingWithCopyWarning)
       30    0.000    0.000    0.000    0.000 common.py:84(is_object_dtype)
        1    0.000    0.000    0.000    0.000 common.py:88(AbstractMethodError)
        1    0.000    0.000    0.000    0.000 common.py:96(_is_url)
        2    0.000    0.000    0.000    0.000 common.py:972(is_datetime64_any_dtype)
        1    0.000    0.000    0.000    0.000 concat.py:210(_Concatenator)
        2    0.000    0.000    0.000    0.000 concat.py:3(<module>)
        1    0.000    0.000    0.000    0.000 config.py:170(get_default_val)
        1    0.000    0.000    0.000    0.000 config.py:175(DictWrapper)
        1    0.000    0.000    0.000    0.000 config.py:178(__init__)
        1    0.000    0.000    0.000    0.000 config.py:217(CallableDynamicDoc)
        4    0.000    0.000    0.000    0.000 config.py:219(__init__)
        2    0.000    0.000    0.000    0.000 config.py:223(__call__)
        1    0.000    0.000    0.000    0.000 config.py:374(option_context)
       46    0.001    0.000    0.001    0.000 config.py:411(register_option)
        2    0.000    0.000    0.000    0.000 config.py:477(deprecate_option)
        1    0.000    0.000    0.008    0.008 config.py:49(<module>)
        3    0.000    0.000    0.000    0.000 config.py:528(_select_options)
        2    0.000    0.000    0.000    0.000 config.py:546(_get_root)
        5    0.000    0.000    0.000    0.000 config.py:561(_get_deprecated_option)
        1    0.000    0.000    0.000    0.000 config.py:578(_get_registered_option)
        3    0.000    0.000    0.000    0.000 config.py:589(_translate_key)
        2    0.000    0.000    0.000    0.000 config.py:602(_warn_if_deprecated)
       16    0.000    0.000    0.000    0.000 config.py:689(config_prefix)
        1    0.000    0.000    0.000    0.000 config.py:69(OptionError)
       24    0.000    0.000    0.000    0.000 config.py:719(wrap)
       46    0.000    0.000    0.001    0.000 config.py:720(inner)
        5    0.000    0.000    0.000    0.000 config.py:741(is_type_factory)
       22    0.000    0.000    0.000    0.000 config.py:755(inner)
        6    0.000    0.000    0.007    0.001 config.py:762(is_instance_factory)
        3    0.000    0.000    0.000    0.000 config.py:78(_get_single_key)
        8    0.000    0.000    0.000    0.000 config.py:782(inner)
        7    0.000    0.000    0.000    0.000 config.py:789(is_one_of_factory)
        7    0.000    0.000    0.000    0.000 config.py:791(<listcomp>)
        7    0.000    0.000    0.000    0.000 config.py:792(<listcomp>)
        7    0.000    0.000    0.000    0.000 config.py:794(inner)
        2    0.000    0.000    0.000    0.000 config.py:96(_get_option)
        1    0.000    0.000    0.013    0.013 config_init.py:11(<module>)
        1    0.000    0.000    0.000    0.000 config_init.py:494(_register_xlsx)
        1    0.000    0.000    0.000    0.000 console.py:14(detect_console_encoding)
        1    0.000    0.000    0.001    0.001 console.py:3(<module>)
       19    0.000    0.000    0.000    0.000 contextlib.py:103(contextmanager)
       10    0.000    0.000    0.000    0.000 contextlib.py:131(helper)
       10    0.000    0.000    0.000    0.000 contextlib.py:37(__init__)
       10    0.000    0.000    0.000    0.000 contextlib.py:57(__enter__)
       10    0.000    0.000    0.006    0.001 contextlib.py:63(__exit__)
        1    0.000    0.000    0.000    0.000 copy.py:125(_copy_with_constructor)
     39/1    0.000    0.000    0.000    0.000 copy.py:137(deepcopy)
       34    0.000    0.000    0.000    0.000 copy.py:192(_deepcopy_atomic)
      5/1    0.000    0.000    0.000    0.000 copy.py:239(_deepcopy_dict)
        5    0.000    0.000    0.000    0.000 copy.py:253(_keep_alive)
      429    0.002    0.000    0.003    0.000 copy.py:269(_reconstruct)
      430    0.001    0.000    0.005    0.000 copy.py:67(copy)
        1    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        1    0.000    0.000    0.000    0.000 copyreg.py:22(constructor)
      429    0.000    0.000    0.000    0.000 copyreg.py:87(__newobj__)
       14    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
        1    0.000    0.000    0.000    0.000 core.py:1001(_MaskedBinaryOperation)
       18    0.000    0.000    0.000    0.000 core.py:1021(__init__)
        1    0.000    0.000    0.000    0.000 core.py:1153(_DomainedBinaryOperation)
        6    0.000    0.000    0.000    0.000 core.py:1174(__init__)
        4    0.000    0.000    0.000    0.000 core.py:124(doc_note)
       43    0.000    0.000    0.001    0.000 core.py:143(get_object_signature)
        1    0.000    0.000    0.000    0.000 core.py:160(MAError)
        1    0.000    0.000    0.000    0.000 core.py:168(MaskError)
        1    0.000    0.000    0.000    0.000 core.py:200(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:202(<listcomp>)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2400(_MaskedPrintOption)
        1    0.000    0.000    0.000    0.000 core.py:2406(__init__)
        9    0.000    0.000    0.000    0.000 core.py:2569(_arraymethod)
        1    0.000    0.000    0.000    0.000 core.py:2617(MaskedIterator)
        1    0.000    0.000    0.000    0.000 core.py:2731(MaskedArray)
        1    0.000    0.000    0.000    0.000 core.py:6046(mvoid)
        1    0.000    0.000    0.000    0.000 core.py:6248(MaskedConstant)
        1    0.000    0.000    0.000    0.000 core.py:6255(__new__)
        1    0.000    0.000    0.000    0.000 core.py:6258(__array_finalize__)
        1    0.000    0.000    0.000    0.000 core.py:6361(_extrema_operation)
        2    0.000    0.000    0.000    0.000 core.py:6370(__init__)
        1    0.000    0.000    0.000    0.000 core.py:6482(_frommethod)
       26    0.000    0.000    0.001    0.000 core.py:6493(__init__)
       26    0.000    0.000    0.001    0.000 core.py:6498(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:7960(_convert2ma)
        8    0.000    0.000    0.000    0.000 core.py:7973(__init__)
        8    0.000    0.000    0.000    0.000 core.py:7978(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:826(_DomainCheckInterval)
        3    0.000    0.000    0.000    0.000 core.py:835(__init__)
        1    0.000    0.000    0.000    0.000 core.py:851(_DomainTan)
        1    0.000    0.000    0.000    0.000 core.py:859(__init__)
        1    0.000    0.000    0.000    0.000 core.py:869(_DomainSafeDivide)
        6    0.000    0.000    0.000    0.000 core.py:875(__init__)
        1    0.000    0.000    0.000    0.000 core.py:890(_DomainGreater)
        3    0.000    0.000    0.000    0.000 core.py:896(__init__)
        1    0.000    0.000    0.000    0.000 core.py:906(_DomainGreaterEqual)
        2    0.000    0.000    0.000    0.000 core.py:912(__init__)
        1    0.000    0.000    0.000    0.000 core.py:922(_MaskedUnaryOperation)
        1    0.000    0.000    0.000    0.000 core.py:93(MaskedArrayFutureWarning)
       27    0.000    0.000    0.000    0.000 core.py:940(__init__)
        1    0.000    0.000    0.000    0.000 csv.py:129(DictWriter)
        1    0.000    0.000    0.000    0.000 csv.py:164(Sniffer)
        1    0.000    0.000    0.000    0.000 csv.py:22(Dialect)
        1    0.000    0.000    0.002    0.002 csv.py:4(<module>)
        1    0.000    0.000    0.000    0.000 csv.py:53(excel)
        1    0.000    0.000    0.000    0.000 csv.py:63(excel_tab)
        1    0.000    0.000    0.000    0.000 csv.py:68(unix_dialect)
        1    0.000    0.000    0.000    0.000 csv.py:79(DictReader)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:177(_ndptr)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:330(prep_simple)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
        2    0.000    0.000    0.000    0.000 cycler.py:112(__init__)
       10    0.000    0.000    0.000    0.000 cycler.py:138(keys)
        2    0.000    0.000    0.000    0.000 cycler.py:145(change_key)
        2    0.000    0.000    0.000    0.000 cycler.py:191(_from_iter)
       19    0.000    0.000    0.000    0.000 cycler.py:212(<genexpr>)
        2    0.000    0.000    0.000    0.000 cycler.py:225(__iter__)
       22    0.000    0.000    0.000    0.000 cycler.py:227(<genexpr>)
        2    0.000    0.000    0.000    0.000 cycler.py:349(by_key)
        4    0.000    0.000    0.000    0.000 cycler.py:371(<genexpr>)
        1    0.000    0.000    0.000    0.000 cycler.py:41(<module>)
        2    0.000    0.000    0.000    0.000 cycler.py:468(cycler)
        2    0.000    0.000    0.000    0.000 cycler.py:529(_cycler)
        2    0.000    0.000    0.000    0.000 cycler.py:55(_process_keys)
        1    0.000    0.000    0.000    0.000 cycler.py:77(Cycler)
        1    0.000    0.000    0.000    0.000 date_converters.py:1(<module>)
        1    0.000    0.000    0.023    0.023 dates.py:110(<module>)
        1    0.000    0.000    0.000    0.000 dates.py:1116(YearLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1180(MonthLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1205(WeekdayLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1233(DayLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1260(HourLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1280(MinuteLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1300(SecondLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1320(MicrosecondLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1498(DateConverter)
        1    0.000    0.000    0.000    0.000 dates.py:155(_UTC)
        1    0.000    0.000    0.000    0.000 dates.py:274(strpdate2num)
        1    0.000    0.000    0.000    0.000 dates.py:290(bytespdate2num)
        1    0.000    0.000    0.000    0.000 dates.py:437(DateFormatter)
        1    0.000    0.000    0.000    0.000 dates.py:576(IndexDateFormatter)
        1    0.000    0.000    0.000    0.000 dates.py:603(AutoDateFormatter)
        1    0.000    0.000    0.000    0.000 dates.py:705(rrulewrapper)
        1    0.000    0.000    0.000    0.000 dates.py:725(DateLocator)
        1    0.000    0.000    0.000    0.000 dates.py:792(RRuleLocator)
        1    0.000    0.000    0.000    0.000 dates.py:897(AutoDateLocator)
        1    0.000    0.000    0.000    0.000 datetime.py:1005(time)
        2    0.000    0.000    0.000    0.000 datetime.py:1030(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:1311(datetime)
        3    0.000    0.000    0.000    0.000 datetime.py:1319(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:1815(timezone)
        3    0.000    0.000    0.000    0.000 datetime.py:1838(_create)
       35    0.000    0.000    0.000    0.000 datetime.py:247(_check_int_field)
        5    0.000    0.000    0.000    0.000 datetime.py:264(_check_date_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:277(_check_time_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:292(_check_tzinfo_arg)
        1    0.000    0.000    0.000    0.000 datetime.py:319(timedelta)
        9    0.000    0.000    0.000    0.000 datetime.py:338(__new__)
        3    0.000    0.000    0.000    0.000 datetime.py:40(_days_before_year)
        5    0.000    0.000    0.000    0.000 datetime.py:45(_days_in_month)
        1    0.000    0.000    0.002    0.002 datetime.py:5(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:513(__neg__)
        1    0.000    0.000    0.000    0.000 datetime.py:641(date)
        2    0.000    0.000    0.000    0.000 datetime.py:671(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:935(tzinfo)
        1    0.000    0.000    0.000    0.000 datetimelike.py:125(DatetimeIndexOpsMixin)
        8    0.000    0.000    0.000    0.000 datetimelike.py:159(_join_i8_wrapper)
        1    0.000    0.000    0.005    0.005 datetimelike.py:3(<module>)
        1    0.000    0.000    0.000    0.000 datetimelike.py:39(DatelikeOps)
        3    0.000    0.000    0.000    0.000 datetimelike.py:632(_add_datetimelike_methods)
        1    0.000    0.000    0.000    0.000 datetimelike.py:64(TimelikeOps)
        1    0.000    0.000    0.000    0.000 datetimes.py:1(<module>)
        6    0.000    0.000    0.000    0.000 datetimes.py:101(_dt_index_cmp)
        1    0.000    0.000    0.001    0.001 datetimes.py:164(DatetimeIndex)
        1    0.000    0.000    0.001    0.001 datetimes.py:2(<module>)
        4    0.000    0.000    0.000    0.000 datetimes.py:215(_join_i8_wrapper)
       21    0.000    0.000    0.000    0.000 datetimes.py:62(_field_accessor)
        1    0.000    0.000    0.002    0.002 dbapi2.py:23(<module>)
        1    0.000    0.000    0.000    0.000 dbapi2.py:50(<listcomp>)
        1    0.000    0.000    0.000    0.000 dbapi2.py:51(<listcomp>)
        1    0.000    0.000    0.000    0.000 dbapi2.py:56(register_adapters_and_converters)
        1    0.000    0.000    0.003    0.003 decimal.py:2(<module>)
        1    0.000    0.000    0.003    0.003 decoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 decoder.py:20(JSONDecodeError)
        1    0.000    0.000    0.000    0.000 decoder.py:253(JSONDecoder)
        1    0.000    0.000    0.000    0.000 decoder.py:283(__init__)
        2    0.000    0.000    0.000    0.000 decoder.py:334(decode)
        2    0.000    0.000    0.000    0.000 decoder.py:345(raw_decode)
        1    0.000    0.000    0.005    0.005 decorators.py:15(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:1669(chararray)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.000    0.000    0.002    0.002 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:174(matrix)
        1    0.000    0.000    0.000    0.000 difflib.py:1703(HtmlDiff)
        1    0.000    0.000    0.002    0.002 difflib.py:27(<module>)
        1    0.000    0.000    0.000    0.000 difflib.py:43(SequenceMatcher)
        1    0.000    0.000    0.000    0.000 difflib.py:751(Differ)
        1    0.000    0.000    0.004    0.004 dis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dis.py:166(Instruction)
        1    0.000    0.000    0.000    0.000 dis.py:405(Bytecode)
        1    0.000    0.000    0.002    0.002 dtypes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dtypes.py:103(CategoricalDtypeType)
        1    0.000    0.000    0.000    0.000 dtypes.py:110(CategoricalDtype)
        1    0.000    0.000    0.000    0.000 dtypes.py:126(__new__)
        4    0.000    0.000    0.000    0.000 dtypes.py:145(construct_from_string)
        1    0.000    0.000    0.000    0.000 dtypes.py:158(DatetimeTZDtypeType)
        1    0.000    0.000    0.001    0.001 dtypes.py:165(DatetimeTZDtype)
        3    0.000    0.000    0.000    0.000 dtypes.py:183(__new__)
        3    0.000    0.000    0.000    0.000 dtypes.py:241(construct_from_string)
        1    0.000    0.000    0.000    0.000 dtypes.py:272(PeriodDtypeType)
        1    0.000    0.000    0.001    0.001 dtypes.py:279(PeriodDtype)
       15    0.000    0.000    0.000    0.000 dtypes.py:367(is_dtype)
        1    0.000    0.000    0.000    0.000 dtypes.py:390(IntervalDtypeType)
        1    0.000    0.000    0.000    0.000 dtypes.py:397(IntervalDtype)
        1    0.000    0.000    0.000    0.000 dtypes.py:456(construct_from_string)
       17    0.000    0.000    0.000    0.000 dtypes.py:489(is_dtype)
        1    0.000    0.000    0.000    0.000 dtypes.py:8(ExtensionDtype)
      167    0.000    0.000    0.000    0.000 dtypes.py:84(is_dtype)
        1    0.000    0.000    0.000    0.000 easter.py:5(<module>)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:4(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:104(__init__)
        1    0.000    0.000    0.001    0.001 encoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:73(JSONEncoder)
        1    0.000    0.000    0.000    0.000 encoders.py:5(<module>)
        1    0.000    0.000    0.000    0.000 engines.py:100(NumExprEngine)
        1    0.000    0.000    0.000    0.000 engines.py:132(PythonEngine)
        1    0.000    0.000    0.000    0.000 engines.py:19(NumExprClobberingError)
        1    0.000    0.000    0.001    0.001 engines.py:3(<module>)
        1    0.000    0.000    0.000    0.000 engines.py:40(AbstractEngine)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
        1    0.000    0.000    0.001    0.001 enum.py:1(<module>)
       11    0.000    0.000    0.000    0.000 enum.py:121(<setcomp>)
       32    0.000    0.000    0.000    0.000 enum.py:140(<genexpr>)
      162    0.000    0.000    0.000    0.000 enum.py:16(_is_dunder)
        6    0.000    0.000    0.002    0.000 enum.py:215(__call__)
      153    0.000    0.000    0.000    0.000 enum.py:24(_is_sunder)
        9    0.000    0.000    0.000    0.000 enum.py:260(__getattr__)
        9    0.000    0.000    0.000    0.000 enum.py:285(__members__)
      193    0.000    0.000    0.000    0.000 enum.py:301(__setattr__)
        6    0.000    0.000    0.002    0.000 enum.py:314(_create_)
        1    0.000    0.000    0.000    0.000 enum.py:32(_make_class_unpicklable)
       11    0.000    0.000    0.000    0.000 enum.py:361(_get_mixins_)
        1    0.000    0.000    0.000    0.000 enum.py:40(_EnumDict)
       11    0.000    0.000    0.000    0.000 enum.py:406(_find_new_)
        1    0.000    0.000    0.000    0.000 enum.py:453(Enum)
       11    0.000    0.000    0.000    0.000 enum.py:47(__init__)
      153    0.000    0.000    0.001    0.000 enum.py:51(__setitem__)
        6    0.000    0.000    0.003    0.000 enum.py:532(_convert)
        6    0.000    0.000    0.001    0.000 enum.py:547(<dictcomp>)
        1    0.000    0.000    0.000    0.000 enum.py:556(IntEnum)
      123    0.000    0.000    0.000    0.000 enum.py:8(_is_descriptor)
        1    0.000    0.000    0.000    0.000 enum.py:82(EnumMeta)
       11    0.000    0.000    0.000    0.000 enum.py:84(__prepare__)
       11    0.001    0.000    0.003    0.000 enum.py:88(__new__)
       11    0.000    0.000    0.000    0.000 enum.py:99(<dictcomp>)
        1    0.000    0.000    0.001    0.001 error.py:12(<module>)
        1    0.000    0.000    0.000    0.000 error.py:23(URLError)
        1    0.000    0.000    0.000    0.000 error.py:39(HTTPError)
        1    0.000    0.000    0.000    0.000 error.py:77(ContentTooShortError)
        1    0.000    0.000    0.000    0.000 errors.py:101(ObsoleteHeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:104(NonASCIILocalPartDefect)
        1    0.000    0.000    0.000    0.000 errors.py:11(DistutilsError)
        1    0.000    0.000    0.000    0.000 errors.py:12(MessageParseError)
        1    0.000    0.000    0.000    0.000 errors.py:15(DistutilsModuleError)
        1    0.000    0.000    0.000    0.000 errors.py:16(HeaderParseError)
        1    0.000    0.000    0.000    0.000 errors.py:20(BoundaryError)
        1    0.000    0.000    0.000    0.000 errors.py:20(DistutilsClassError)
        1    0.000    0.000    0.000    0.000 errors.py:24(MultipartConversionError)
        1    0.000    0.000    0.000    0.000 errors.py:27(DistutilsGetoptError)
        1    0.000    0.000    0.000    0.000 errors.py:28(CharsetError)
        1    0.000    0.000    0.000    0.000 errors.py:31(DistutilsArgError)
        1    0.000    0.000    0.000    0.000 errors.py:33(MessageDefect)
        1    0.000    0.000    0.000    0.000 errors.py:36(DistutilsFileError)
        1    0.000    0.000    0.000    0.000 errors.py:41(NoBoundaryInMultipartDefect)
        1    0.000    0.000    0.000    0.000 errors.py:42(DistutilsOptionError)
        1    0.000    0.000    0.000    0.000 errors.py:44(StartBoundaryNotFoundDefect)
        1    0.000    0.000    0.000    0.000 errors.py:47(CloseBoundaryNotFoundDefect)
        1    0.000    0.000    0.001    0.001 errors.py:5(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:50(FirstHeaderLineIsContinuationDefect)
        1    0.000    0.000    0.000    0.000 errors.py:51(DistutilsSetupError)
        1    0.000    0.000    0.000    0.000 errors.py:53(MisplacedEnvelopeHeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:56(DistutilsPlatformError)
        1    0.000    0.000    0.000    0.000 errors.py:56(MissingHeaderBodySeparatorDefect)
        1    0.000    0.000    0.000    0.000 errors.py:61(MultipartInvariantViolationDefect)
        1    0.000    0.000    0.000    0.000 errors.py:62(DistutilsExecError)
        1    0.000    0.000    0.000    0.000 errors.py:64(InvalidMultipartContentTransferEncodingDefect)
        1    0.000    0.000    0.000    0.000 errors.py:67(DistutilsInternalError)
        1    0.000    0.000    0.000    0.000 errors.py:67(UndecodableBytesDefect)
        1    0.000    0.000    0.000    0.000 errors.py:70(InvalidBase64PaddingDefect)
        1    0.000    0.000    0.000    0.000 errors.py:72(DistutilsTemplateError)
        1    0.000    0.000    0.000    0.000 errors.py:73(InvalidBase64CharactersDefect)
        1    0.000    0.000    0.000    0.000 errors.py:75(DistutilsByteCompileError)
        1    0.000    0.000    0.000    0.000 errors.py:78(HeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:79(CCompilerError)
        1    0.000    0.000    0.000    0.000 errors.py:8(MessageError)
        1    0.000    0.000    0.000    0.000 errors.py:82(PreprocessError)
        1    0.000    0.000    0.000    0.000 errors.py:84(InvalidHeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:85(CompileError)
        1    0.000    0.000    0.000    0.000 errors.py:87(HeaderMissingRequiredValue)
        1    0.000    0.000    0.000    0.000 errors.py:88(LibError)
        1    0.000    0.000    0.000    0.000 errors.py:9(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:90(NonPrintableDefect)
        1    0.000    0.000    0.000    0.000 errors.py:92(LinkError)
        1    0.000    0.000    0.000    0.000 errors.py:96(UnknownFileError)
        1    0.000    0.000    0.011    0.011 eval.py:4(<module>)
        1    0.000    0.000    0.000    0.000 excel.py:1328(_Openpyxl22Writer)
        1    0.000    0.000    0.000    0.000 excel.py:1403(_XlwtWriter)
        1    0.000    0.000    0.000    0.000 excel.py:1533(_XlsxWriter)
        6    0.000    0.000    0.000    0.000 excel.py:154(register_writer)
        1    0.000    0.000    0.000    0.000 excel.py:215(ExcelFile)
        1    0.000    0.000    0.004    0.004 excel.py:3(<module>)
        1    0.000    0.000    0.000    0.000 excel.py:632(ExcelWriter)
        1    0.000    0.000    0.000    0.000 excel.py:793(_Openpyxl1Writer)
        1    0.000    0.000    0.000    0.000 excel.py:913(_OpenpyxlWriter)
        1    0.000    0.000    0.000    0.000 excel.py:920(_Openpyxl20Writer)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(UnpackException)
        1    0.000    0.000    0.000    0.000 exceptions.py:11(UnknownTimeZoneError)
        1    0.000    0.000    0.000    0.000 exceptions.py:13(UnpackValueError)
        1    0.000    0.000    0.000    0.000 exceptions.py:17(ExtraData)
        1    0.000    0.000    0.000    0.000 exceptions.py:27(InvalidTimeError)
        1    0.000    0.000    0.000    0.000 exceptions.py:27(PackException)
        1    0.000    0.000    0.000    0.000 exceptions.py:3(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:31(AmbiguousTimeError)
        1    0.000    0.000    0.000    0.000 exceptions.py:31(PackValueError)
        1    0.000    0.000    0.000    0.000 exceptions.py:42(NonExistentTimeError)
        1    0.000    0.000    0.000    0.000 exceptions.py:5(BufferFull)
        1    0.000    0.000    0.000    0.000 exceptions.py:9(OutOfData)
        2    0.000    0.000    0.000    0.000 expr.py:135(_is_type)
      132    0.000    0.000    0.000    0.000 expr.py:145(<lambda>)
      133    0.000    0.000    0.000    0.000 expr.py:147(<genexpr>)
       14    0.000    0.000    0.001    0.000 expr.py:150(_filter_nodes)
      122    0.000    0.000    0.001    0.000 expr.py:152(<genexpr>)
      111    0.000    0.000    0.000    0.000 expr.py:157(<lambda>)
      156    0.000    0.000    0.000    0.000 expr.py:197(_node_not_implemented)
        1    0.000    0.000    0.008    0.008 expr.py:2(<module>)
        3    0.000    0.000    0.000    0.000 expr.py:208(disallow)
        3    0.000    0.000    0.001    0.000 expr.py:216(disallowed)
       22    0.000    0.000    0.000    0.000 expr.py:227(_op_maker)
        1    0.000    0.000    0.000    0.000 expr.py:250(add_ops)
        1    0.000    0.000    0.000    0.000 expr.py:252(f)
        1    0.000    0.000    0.000    0.000 expr.py:265(BaseExprVisitor)
        1    0.000    0.000    0.000    0.000 expr.py:686(PandasExprVisitor)
        1    0.000    0.000    0.000    0.000 expr.py:697(PythonExprVisitor)
        1    0.000    0.000    0.000    0.000 expr.py:705(Expr)
        1    0.000    0.000    0.000    0.000 expressions.py:34(set_use_numexpr)
        1    0.000    0.000    0.000    0.000 expressions.py:7(<module>)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:1453(MAxisConcatenator)
        1    0.000    0.000    0.000    0.000 extras.py:1478(mr_class)
        1    0.000    0.000    0.000    0.000 extras.py:1494(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:218(_fromnxfunction)
        9    0.000    0.000    0.000    0.000 extras.py:238(__init__)
        9    0.000    0.000    0.000    0.000 extras.py:242(getdoc)
        1    0.000    0.000    0.000    0.000 extras.py:273(_fromnxfunction_single)
        1    0.000    0.000    0.000    0.000 extras.py:291(_fromnxfunction_seq)
        1    0.000    0.000    0.000    0.000 extras.py:304(_fromnxfunction_args)
        1    0.000    0.000    0.000    0.000 extras.py:329(_fromnxfunction_allargs)
        1    0.000    0.000    0.000    0.000 feather_format.py:1(<module>)
        1    0.000    0.000    0.000    0.000 feedparser.py:136(FeedParser)
        1    0.000    0.000    0.039    0.039 feedparser.py:20(<module>)
        1    0.000    0.000    0.000    0.000 feedparser.py:45(BufferedSubFile)
        1    0.000    0.000    0.000    0.000 feedparser.py:531(BytesFeedParser)
        1    0.000    0.000    0.002    0.002 fftpack.py:32(<module>)
        1    0.000    0.000    0.000    0.000 financial.py:10(<module>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
       12    0.000    0.000    0.004    0.000 fontconfig_pattern.py:119(parse)
       12    0.000    0.000    0.000    0.000 fontconfig_pattern.py:138(_family)
        8    0.000    0.000    0.000    0.000 fontconfig_pattern.py:144(_name)
       12    0.000    0.000    0.000    0.000 fontconfig_pattern.py:150(_families)
       12    0.000    0.000    0.000    0.000 fontconfig_pattern.py:151(<listcomp>)
        4    0.000    0.000    0.000    0.000 fontconfig_pattern.py:158(_property)
